IDKhachHang,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
9819-FBNSV,Nam,1,Co,Khong,37,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,72.25,2575.45,Khong
9544-PYPSJ,Nu,1,Co,Co,62,Co,Co,Cap quang,Khong,Co,Co,Khong,Khong,Co,hang thang,Co,the tin dung,96.1,6019.35,Khong
1591-XWLGB,Nu,0,Co,Khong,71,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,19.85,1379.6,Khong
0396-UKGAI,Nam,0,Khong,Co,23,Co,Khong,DSL,Khong,Co,Khong,Co,Khong,Khong,hang thang,Co,chuyen khoang ngan hang,55.3,1284.2,Khong
3243-ZHOHY,Nu,0,Khong,Khong,16,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.1,296.15,Khong
5186-EJEGL,Nam,0,Khong,Khong,9,Co,Khong,DSL,Co,Khong,Co,Co,Co,Khong,hang thang,Co,Sec buu dien,69.5,653.25,Khong
7527-QNRUS,Nam,0,Co,Co,17,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,Sec buu dien,25.15,412.6,Khong
9986-BONCE,Nu,0,Khong,Khong,4,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,chuyen khoang ngan hang,20.95,85.5,Co
2722-JMONI,Nu,1,Co,Khong,1,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,49.55,49.55,Co
2203-GHNWN,Nu,0,Co,Khong,24,Co,Co,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,Sec buu dien,79.65,1928.7,Khong
3878-AVSOQ,Nu,1,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,71.25,71.25,Khong
3258-SYSWS,Nam,1,Khong,Khong,72,Co,Co,Cap quang,Co,Co,Co,Co,Co,Co,hai nam,Khong,chuyen khoang ngan hang,113.8,7845.8,Khong
5296-PSYVW,Nu,0,Co,Khong,72,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec dien tu,24.55,1750.7,Khong
6319-QSUSR,Nu,0,Khong,Co,11,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,the tin dung,19.7,216.2,Khong
4083-EUGRJ,Nam,0,Khong,Khong,9,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.25,178.5,Co
7579-OOPEC,Nu,1,Co,Khong,2,Co,Khong,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Khong,the tin dung,50.15,115.1,Co
0512-FLFDW,Nu,1,Co,Khong,60,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang nam,Co,the tin dung,100.5,6029,Khong
1771-OADNZ,Nam,1,Co,Khong,29,Co,Co,Cap quang,Khong,Co,Co,Khong,Khong,Co,hang thang,Co,Sec dien tu,95.9,2745.2,Co
0487-CRLZF,Nu,0,Khong,Khong,49,Co,Khong,DSL,Khong,Khong,Co,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,74.45,3721.9,Khong
2107-FBPTK,Nu,1,Khong,Khong,30,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,104.1,3121.1,Khong
9451-WLYRI,Nu,0,Co,Khong,53,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,the tin dung,19.05,990.45,Khong
8219-VYBVI,Nam,0,Khong,Co,39,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,25,1004.35,Khong
1991-VOPLL,Nu,0,Khong,Khong,9,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,19.05,157.65,Khong
9738-QLWTP,Nam,0,Khong,Khong,39,Co,Khong,Cap quang,Khong,Khong,Co,Co,Khong,Khong,hang nam,Khong,Sec dien tu,81.9,3219.75,Khong
1016-DJTSV,Nam,1,Khong,Khong,8,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,69.7,572.85,Khong
9419-IPPBE,Nu,0,Co,Co,51,Co,Co,Cap quang,Khong,Khong,Co,Khong,Khong,Co,hang nam,Co,Sec dien tu,90.15,4554.85,Khong
0174-QRVVY,Nam,0,Co,Co,71,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,the tin dung,25.35,1847.55,Khong
5699-BNCAS,Nam,1,Khong,Khong,71,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,Sec buu dien,24.65,1766.75,Khong
2900-PHPLN,Nu,1,Co,Khong,70,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,the tin dung,19.55,1462.05,Khong
0612-RTZZA,Nu,1,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,25.25,25.25,Co
8106-GWQOK,Nam,0,Co,Khong,38,Khong,khong co dich vu dien thoai,DSL,Co,Co,Khong,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,60,2193.2,Khong
8751-EDEKA,Nu,0,Co,Khong,28,Co,Khong,Cap quang,Khong,Co,Co,Khong,Khong,Co,hang thang,Khong,the tin dung,89.9,2433.5,Khong
6878-GGDWG,Nu,0,Co,Khong,32,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,chuyen khoang ngan hang,19.4,641.15,Khong
4039-PIMHX,Nam,1,Co,Khong,49,Co,Khong,DSL,Khong,Co,Khong,Khong,Khong,Khong,hai nam,Khong,Sec buu dien,49.8,2398.4,Khong
8450-LUGUK,Nu,0,Co,Co,37,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,chuyen khoang ngan hang,24.1,861.85,Khong
3604-WLABM,Nu,0,Khong,Khong,10,Co,Khong,DSL,Khong,Khong,Co,Co,Khong,Khong,hang thang,Khong,Sec dien tu,54.25,583,Khong
0795-GMVQO,Nam,0,Co,Khong,67,Co,Co,Cap quang,Co,Co,Co,Khong,Co,Co,hang nam,Khong,the tin dung,109.9,7332.4,Khong
2259-OUUSZ,Nam,0,Khong,Khong,7,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Co,Co,Khong,Khong,hang nam,Co,the tin dung,35.5,249.55,Khong
1142-IHLOO,Nu,0,Khong,Khong,51,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang nam,Khong,the tin dung,87.55,4475.9,Khong
6410-LEFEN,Nu,0,Khong,Khong,9,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,45.15,416.45,Co
4633-MKHYU,Nu,0,Khong,Khong,9,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec buu dien,88.4,788.6,Khong
6257-RJOHI,Nam,0,Khong,Khong,4,Co,Khong,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Co,Sec buu dien,50.8,202.3,Khong
1545-JFUML,Nam,0,Co,Khong,71,Co,Co,Cap quang,Co,Co,Co,Khong,Co,Khong,hai nam,Co,Sec dien tu,99,6994.6,Khong
3194-ORPIK,Nu,0,Co,Co,50,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,chuyen khoang ngan hang,84.4,4116.15,Co
7826-VVKWT,Nu,1,Co,Co,24,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Co,Co,hai nam,Co,Sec dien tu,96.55,2263.45,Khong
1353-GHZOS,Nam,0,Co,Khong,22,Co,Khong,DSL,Co,Khong,Khong,Khong,Co,Khong,hang nam,Co,chuyen khoang ngan hang,59.75,1374.35,Khong
2587-EKXTS,Nam,0,Khong,Khong,44,Co,Co,Cap quang,Co,Co,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,111.5,4915.15,Khong
5442-BXVND,Nu,0,Co,Co,33,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,chuyen khoang ngan hang,24.25,838.5,Khong
8816-VXNZD,Nu,0,Khong,Khong,1,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,75.1,75.1,Co
9378-FXTIZ,Nu,0,Co,Khong,54,Co,Co,DSL,Khong,Khong,Khong,Khong,Co,Co,hang nam,Co,the tin dung,70.15,3715.65,Co
1723-HKXJQ,Nam,0,Khong,Khong,42,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,101.75,4273.45,Co
7825-GKXMW,Nu,0,Khong,Khong,1,Co,Khong,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,45.8,45.8,Co
9753-OYLBX,Nu,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.5,20.5,Khong
2364-UFROM,Nam,0,Khong,Khong,30,Co,Khong,DSL,Co,Co,Khong,Co,Co,Khong,hang nam,Khong,Sec dien tu,70.4,2044.75,Khong
6656-JWRQX,Nu,0,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Khong,Sec buu dien,30.55,30.55,Khong
6473-ULUHT,Nam,0,Co,Co,16,Co,Co,DSL,Co,Co,Khong,Co,Co,Co,hang thang,Khong,Sec dien tu,84.9,1398.25,Khong
1240-KNSEZ,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Co,Sec buu dien,20.1,20.1,Co
0836-SEYLU,Nam,0,Co,Khong,9,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Co,Co,Khong,hang thang,Khong,Sec buu dien,40.65,328.95,Co
4433-JCGCG,Nam,1,Co,Khong,46,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,101,4680.05,Co
3716-BDVDB,Nam,0,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,69.1,69.1,Co
7688-AWMDX,Nam,0,Co,Khong,71,Co,Khong,DSL,Co,Khong,Khong,Co,Khong,Khong,hai nam,Khong,chuyen khoang ngan hang,54.5,3778.2,Khong
2842-BCQGE,Nam,0,Khong,Khong,43,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,the tin dung,75.35,3161.4,Khong
7244-QWYHG,Nam,0,Co,Khong,50,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Co,Co,Khong,hang nam,Co,chuyen khoang ngan hang,44.45,2188.45,Khong
5899-MQZZL,Nu,0,Khong,Khong,13,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,75,999.45,Co
6849-OYAMU,Nam,0,Co,Co,19,Co,Khong,Cap quang,Khong,Co,Khong,Co,Co,Co,hang nam,Khong,chuyen khoang ngan hang,100,1888.65,Co
5312-UXESG,Nu,0,Khong,Khong,41,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Khong,chuyen khoang ngan hang,98.05,3990.6,Khong
9488-HGMJH,Nu,1,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,71.15,71.15,Co
6038-GCYEC,Nu,0,Khong,Khong,24,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Co,Khong,Co,Co,hang thang,Co,the tin dung,54.15,1240.25,Co
2150-WLKUW,Nu,0,Co,Khong,40,Co,Co,DSL,Khong,Co,Khong,Khong,Co,Khong,hang nam,Khong,chuyen khoang ngan hang,63.9,2635,Khong
7159-FVYPK,Nu,0,Co,Co,3,Co,Co,DSL,Khong,Co,Co,Khong,Co,Khong,hang thang,Co,chuyen khoang ngan hang,69.15,235,Khong
7032-LMBHI,Nu,0,Khong,Khong,37,Co,Co,DSL,Co,Khong,Khong,Khong,Co,Khong,hang nam,Khong,chuyen khoang ngan hang,64.65,2347.85,Khong
1150-WFARN,Nu,0,Co,Co,67,Co,Co,Cap quang,Co,Khong,Co,Co,Co,Co,hai nam,Co,the tin dung,108.75,7156.2,Co
6088-BXMRG,Nu,0,Co,Co,32,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,98.85,3089.6,Khong
3144-AUDBS,Nu,0,Co,Khong,6,Co,Khong,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Co,Sec dien tu,49.15,270.8,Co
4821-SJHJV,Nu,0,Co,Co,32,Co,Co,Cap quang,Co,Khong,Khong,Khong,Co,Khong,hang thang,Khong,Sec dien tu,89.6,2901.8,Khong
7346-MEDWM,Nu,0,Khong,Khong,59,Co,Co,Cap quang,Khong,Co,Co,Khong,Khong,Khong,hang thang,Co,Sec dien tu,83.25,4949.1,Khong
1137-DGOWI,Nu,0,Co,Khong,30,Co,Khong,DSL,Khong,Co,Co,Co,Khong,Co,hang nam,Khong,chuyen khoang ngan hang,70.25,2198.9,Khong
5616-PRTNT,Nam,0,Khong,Co,20,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Co,Sec dien tu,19.4,374.5,Co
3812-LRZIR,Nu,0,Co,Co,27,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec dien tu,24.5,761.95,Khong
4818-QIUFN,Nu,1,Khong,Khong,20,Co,Co,Cap quang,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,79.15,1520.9,Co
9483-GCPWE,Nam,0,Khong,Co,9,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.1,190.25,Khong
4227-OJHAL,Nu,0,Co,Co,68,Co,Co,DSL,Co,Co,Co,Khong,Co,Khong,hang nam,Co,the tin dung,73,5163,Khong
9220-CXRSC,Nu,0,Co,Co,69,Co,Co,DSL,Co,Khong,Khong,Co,Khong,Khong,hai nam,Khong,the tin dung,61.4,4059.85,Khong
4993-JCRGJ,Nam,0,Khong,Khong,26,Co,Co,Cap quang,Khong,Khong,Co,Co,Khong,Khong,hang thang,Co,Sec buu dien,84.3,2281.6,Khong
9537-JALFH,Nam,0,Co,Co,69,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,chuyen khoang ngan hang,19.9,1356.7,Khong
6698-OXETB,Nam,0,Khong,Khong,11,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Khong,Sec buu dien,20.4,231.45,Khong
2103-ZRXFN,Nam,0,Khong,Khong,1,Co,Co,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,50.75,50.75,Khong
3724-BSCVH,Nam,0,Co,Co,10,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec buu dien,20.45,242.4,Khong
4877-TSOFF,Nu,0,Co,Co,55,Co,Co,DSL,Co,Co,Khong,Co,Khong,Co,hang nam,Co,chuyen khoang ngan hang,75.75,4264.25,Khong
9209-NWPGU,Nam,0,Khong,Khong,44,Co,Khong,DSL,Co,Khong,Khong,Co,Co,Khong,hang nam,Khong,Sec dien tu,65.4,2774.55,Khong
6961-VCPMC,Nam,1,Co,Khong,46,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,80.4,3605.2,Co
7306-YDSOI,Nam,0,Co,Co,69,Co,Khong,DSL,Co,Co,Co,Khong,Khong,Khong,hai nam,Co,chuyen khoang ngan hang,59.75,4069.9,Khong
5288-AHOUP,Nam,1,Khong,Khong,11,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Co,hang thang,Co,Sec dien tu,78.5,874.2,Khong
6688-UZPWD,Nu,0,Co,Khong,11,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,102,1145.35,Co
0655-YDGFJ,Nam,0,Khong,Khong,29,Co,Khong,DSL,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Khong,chuyen khoang ngan hang,48.95,1323.7,Khong
8468-EHYJA,Nu,0,Co,Khong,57,Co,Co,Cap quang,Co,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,99.65,5497.05,Khong
6823-SIDFQ,Nam,0,Khong,Khong,28,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,the tin dung,18.25,534.7,Khong
1097-FSPVW,Nu,0,Khong,Khong,42,Co,Khong,DSL,Co,Khong,Co,Khong,Khong,Khong,hang thang,Khong,the tin dung,54.55,2455.05,Khong
2839-RFSQE,Nu,0,Khong,Khong,2,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.65,38.7,Co
8328-SKJNO,Nam,0,Khong,Co,23,Khong,khong co dich vu dien thoai,DSL,Co,Co,Khong,Co,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,40.65,947.4,Khong
7010-ZMVBF,Nu,0,Co,Co,18,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.45,357,Khong
5201-CBWYG,Nam,0,Co,Co,62,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,chuyen khoang ngan hang,24.8,1476.25,Khong
0968-GSIKN,Nu,0,Khong,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,70.8,70.8,Co
1965-DDBWU,Nam,0,Khong,Khong,16,Co,Co,Cap quang,Khong,Khong,Khong,Co,Khong,Co,hang thang,Co,the tin dung,89.05,1448.6,Co
9057-SIHCH,Nu,0,Khong,Khong,3,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,96.6,291.9,Co
6352-GIGGQ,Nam,0,Khong,Khong,67,Co,Co,DSL,Co,Co,Co,Co,Co,Co,hang nam,Co,chuyen khoang ngan hang,88.8,5903.15,Khong
3635-QQRQD,Nam,0,Khong,Khong,62,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hai nam,Co,the tin dung,20.05,1201.65,Khong
6771-XWBDM,Nu,0,Co,Khong,57,Co,Co,Cap quang,Khong,Co,Co,Khong,Co,Co,hang thang,Co,the tin dung,104.5,5921.35,Co
2897-DOVND,Nam,0,Khong,Khong,2,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,69.8,146.65,Khong
3082-YVEKW,Nu,0,Co,Co,23,Co,Co,DSL,Co,Khong,Co,Co,Co,Khong,hai nam,Co,chuyen khoang ngan hang,77.15,1759.4,Khong
0191-EQUUH,Nu,0,Khong,Co,25,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Co,Khong,Khong,hai nam,Khong,chuyen khoang ngan hang,35.05,844.45,Khong
7134-HBPBS,Nu,1,Khong,Khong,72,Co,Co,Cap quang,Khong,Co,Co,Co,Co,Co,hai nam,Co,chuyen khoang ngan hang,108.1,7774.05,Khong
3489-HHPFY,Nu,0,Co,Khong,2,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,84.05,134.05,Khong
2926-JEJJC,Nu,0,Khong,Khong,8,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Co,chuyen khoang ngan hang,20.2,140.95,Khong
8601-QACRS,Nu,0,Khong,Khong,5,Co,Co,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,50.6,249.95,Co
4950-BDEUX,Nam,0,Khong,Khong,35,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Co,Khong,Co,Co,hang thang,Khong,Sec dien tu,49.2,1701.65,Khong
5789-LDFXO,Nam,0,Khong,Khong,24,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec dien tu,24.6,592.65,Khong
0508-OOLTO,Nu,0,Co,Co,2,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,71.65,135.75,Khong
2984-TBYKU,Nam,0,Co,Co,72,Co,Co,Cap quang,Co,Co,Co,Co,Khong,Co,hai nam,Co,the tin dung,104.9,7732.65,Khong
9822-WMWVG,Nu,0,Khong,Khong,41,Co,Co,Cap quang,Co,Co,Co,Co,Co,Khong,hang thang,Co,Sec dien tu,106.5,4282.4,Khong
2391-SOORI,Nam,0,Khong,Co,4,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec dien tu,49.35,219.65,Co
9040-KZVWO,Nam,0,Khong,Khong,26,Co,Khong,Cap quang,Khong,Co,Khong,Khong,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,75.5,2018.1,Khong
2645-QTLMB,Nam,0,Khong,Khong,7,Co,Khong,Cap quang,Khong,Co,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,94.25,669,Co
4806-HIPDW,Nu,0,Co,Khong,1,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,68.95,68.95,Co
1548-ARAGG,Nu,0,Co,Co,4,Co,Co,DSL,Khong,Co,Khong,Co,Khong,Khong,hang thang,Co,Sec buu dien,58.5,224.85,Khong
6339-RZCBJ,Nam,0,Khong,Khong,48,Co,Khong,DSL,Khong,Co,Co,Co,Co,Co,hai nam,Khong,the tin dung,78.9,3771.5,Khong
4424-TKOPW,Nam,1,Khong,Khong,2,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Co,Co,hang thang,Co,Sec dien tu,93.85,196.75,Co
4415-WNGVR,Nu,1,Co,Khong,12,Co,Khong,DSL,Co,Khong,Co,Co,Co,Co,hang nam,Co,Sec dien tu,79.2,943.85,Khong
2522-AHJXR,Nam,0,Co,Khong,60,Co,Co,Cap quang,Co,Khong,Co,Co,Co,Co,hang thang,Co,chuyen khoang ngan hang,109.45,6572.85,Khong
0412-UCCNP,Nam,0,Khong,Khong,55,Co,Khong,DSL,Co,Khong,Co,Co,Khong,Khong,hai nam,Co,Sec dien tu,59.2,3175.85,Khong
1816-FLZDK,Nam,0,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Co,Khong,Khong,hang thang,Khong,Sec buu dien,29.15,29.15,Khong
7096-UCLNH,Nam,0,Khong,Khong,1,Co,Khong,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,20.05,20.05,Khong
8443-ZRDBZ,Nam,0,Khong,Khong,4,Co,Co,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,76.05,318.9,Co
9136-ALYBR,Nam,0,Khong,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,24.45,24.45,Co
4615-PIVVU,Nu,0,Khong,Khong,42,Co,Khong,DSL,Khong,Khong,Co,Co,Khong,Co,hai nam,Khong,the tin dung,66.5,2762.75,Khong
8885-QSQBX,Nu,0,Khong,Khong,1,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,chuyen khoang ngan hang,49.55,49.55,Khong
7479-NITWS,Nam,0,Khong,Khong,7,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Khong,hang thang,Co,the tin dung,89.35,631.85,Co
8617-ENBDS,Nam,0,Khong,Khong,3,Co,Khong,Cap quang,Khong,Khong,Co,Khong,Khong,Khong,hang thang,Co,the tin dung,73.6,232.5,Khong
9385-NXKDA,Nu,0,Co,Khong,72,Co,Co,DSL,Co,Co,Co,Khong,Co,Co,hai nam,Co,the tin dung,82.65,5919.35,Khong
0430-IHCDJ,Nam,0,Khong,Khong,15,Co,Co,DSL,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,49,749.25,Khong
2959-MJHIC,Nam,0,Co,Khong,4,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Co,Khong,hang thang,Co,Sec dien tu,80.35,307.4,Co
6674-KVJHG,Nu,0,Khong,Khong,11,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang nam,Khong,Sec dien tu,25.2,245.15,Khong
1814-DKOLC,Nu,0,Khong,Khong,5,Co,Co,Khong,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,khong dang ky internet,hang thang,Khong,Sec buu dien,25.45,134.75,Khong
4201-JMNGR,Nu,1,Khong,Khong,1,Co,Khong,DSL,Co,Khong,Co,Khong,Khong,Khong,hang thang,Co,Sec dien tu,55.8,55.8,Co
